scaler,n_init,k,sil_mean,sil_std,ch_mean,ch_std
standard,10,2,0.5696407241881872,0.004047862997674611,561.265005491205,0.28004746991383517
standard,10,3,0.41319341457988834,0.19701404929607974,475.0416353699516,5.37942034656689
standard,10,4,0.14076998430160542,0.00019967120714510172,437.452170743778,0.22339469335246825
standard,10,5,0.12148138086020592,0.0029876825471316206,428.5298128634888,15.17752387567685
standard,10,6,0.1233720097658907,0.003771881120774068,413.2134966275964,4.960962727288159
standard,20,2,0.572502995563157,0.004047862997674611,561.4630289562352,0.28004746991383517
standard,20,3,0.5290743758401629,0.033133622260968276,480.1641881274372,1.864963237040898
standard,20,4,0.14076998430160542,0.00019967120714510172,437.452170743778,0.22339469335246825
standard,20,5,0.12465747180967242,0.0015039883489343544,433.96298405358584,7.493859491946836
standard,20,6,0.12724339803294302,0.0030704713404410564,413.4316735352539,4.741643387628928
standard,50,2,0.5753652669381268,0.0,561.6610524212655,0.0
standard,50,3,0.5290743758401629,0.033133622260968276,480.1641881274372,1.864963237040898
standard,50,4,0.1405679775268522,8.600951340212258e-05,437.6103354425127,0.0002839686867040432
standard,50,5,0.12359476082639637,1.0880635025007523e-06,439.261768487115,0.0002466819585479886
standard,50,6,0.12811006780274,0.0,419.9380607405745,5.684341886080802e-14
robust,10,2,0.8124079683431553,0.0,1028.5365747293893,0.0
robust,10,3,0.8140518562767113,1.1102230246251565e-16,883.4415567562879,1.1368683772161603e-13
robust,10,4,0.7847525168193302,0.036632751731145344,893.2321813167501,16.033581080804318
robust,10,5,0.3477261325087479,5.551115123125783e-17,936.9226731104005,1.1368683772161603e-13
robust,10,6,0.26171324922881667,0.0,1002.1858998754524,0.0
robust,20,2,0.8124079683431553,0.0,1028.5365747293893,0.0
robust,20,3,0.8140518562767113,1.1102230246251565e-16,883.4415567562879,1.1368683772161603e-13
robust,20,4,0.7847525168193302,0.036632751731145344,893.2321813167501,16.033581080804318
robust,20,5,0.45039318840330456,0.14519314285499865,938.8459193890181,2.7198809710043625
robust,20,6,0.26171324922881667,0.0,1002.1858998754524,0.0
robust,50,2,0.8124079683431553,0.0,1028.5365747293893,0.0
robust,50,3,0.8140518562767113,1.1102230246251565e-16,883.4415567562879,1.1368683772161603e-13
robust,50,4,0.8106557839819463,1.1102230246251565e-16,904.5696352256913,6.563712636189231e-14
robust,50,5,0.5632728877637043,0.15292694000832782,941.433567667467,3.291842930419864
robust,50,6,0.26171324922881667,0.0,1002.1858998754524,0.0
