Index,YearMonth,Close_last,Stock_monthly_pct,GPRD_mean,GPRD_ACT_mean,GPRD_THREAT_mean,GPRD_monthly_pct,GPRD_ACT_monthly_pct,GPRD_THREAT_monthly_pct,gpr_lag1,stock_lag1,gpr_lag2,stock_lag2,gpr_lag3,stock_lag3,stock_vol6,gprd_zscore,gpr_spike,stock_down,gpr_up_next,cluster
000001.SS,2000-07,2023.53894,4.9495715032428445,51.13137294400123,40.80166629052931,56.5029530679026,-20.264885157915803,-21.61971460324582,-22.58825043151742,-19.521279515661185,1.7709710463220896,60.478668524912834,3.1711726094170167,-2.0144699660817,2.005086557581448,3.6685319612563134,-1.020006078838822,0,0,0,2
000001.SS,2000-08,2021.198975,-0.1156372607289624,47.5130286985828,41.88413973777525,50.82666443240258,-7.076563833678429,2.6530128439808287,-10.046003487071763,-20.264885157915803,4.9495715032428445,-19.521279515661185,1.7709710463220896,60.478668524912834,3.1711726094170167,1.9884195166422145,-1.092244368533953,0,1,1,2
000001.SS,2000-09,1910.161011,-5.493668133292029,52.75809377034505,36.65586573282878,63.30135205586751,11.039214328003254,-12.482705954280584,24.54358900544371,-7.076563833678429,-0.1156372607289624,-20.264885157915803,4.9495715032428445,-19.521279515661185,1.7709710463220896,3.614313144574549,-0.9875294756368682,0,1,1,2
000001.SS,2000-10,1961.286987,2.6765270417300924,74.84650722626716,74.61284114468482,80.27979493910267,41.86734560970407,103.54952653010729,26.82161175364879,11.039214328003254,-5.493668133292029,-7.076563833678429,-0.1156372607289624,-20.264885157915803,4.9495715032428445,3.659982436880025,-0.5465462242076752,0,0,0,2
000001.SS,2000-11,2070.613037,5.574199529423596,45.440477244059245,47.08891073862711,44.53256746927897,-39.28844654475468,-36.88899924435919,-44.52829942694827,41.86734560970407,2.6765270417300924,11.039214328003254,-5.493668133292029,-7.076563833678429,-0.1156372607289624,4.036239040898849,-1.1336217395703077,0,0,1,2
000001.SS,2000-12,2073.477051,0.13831720117774,46.01157077666252,44.53382098290228,46.60758584545505,1.2567947504951382,-5.426096538752367,4.659552534462641,-39.28844654475468,5.574199529423596,41.86734560970407,2.6765270417300924,11.039214328003254,-5.493668133292029,4.0740547396117535,-1.1222201654653985,0,0,1,2
000001.SS,2001-01,2065.605957,-0.3796084454469106,47.34544200281943,39.250703688590754,53.58126591097924,2.8989908486964038,-11.863157433402929,14.962542983127358,1.2567947504951382,0.13831720117774,-39.28844654475468,5.574199529423596,41.86734560970407,2.6765270417300924,3.6778360269225594,-1.0955901464523845,0,1,1,2
000001.SS,2001-02,1959.180054,-5.152284860495316,56.3363071169172,45.95857455049242,65.78157465798515,18.989927506775352,17.089810453134604,22.769728448140224,2.8989908486964038,-0.3796084454469106,1.2567947504951382,0.13831720117774,-39.28844654475468,5.574199529423596,4.335126823828587,-0.916092377674739,0,1,1,2
000001.SS,2001-03,2112.774902,7.839751516784288,61.72149381329936,57.44915543833086,65.804611175291,9.558998400811111,25.00203933699969,0.0350197109534544,18.989927506775352,-5.152284860495316,2.8989908486964038,-0.3796084454469106,1.2567947504951382,0.13831720117774,4.633267876447656,-0.80858003217909,0,0,0,2
000001.SS,2001-04,2119.184082,0.3033536603418207,49.02697035471599,47.12476806640625,50.69535102844238,-20.567427445911942,-17.97134752138766,-22.96079237760469,9.558998400811111,7.839751516784288,18.989927506775352,-5.152284860495316,2.8989908486964038,-0.3796084454469106,4.643001002505021,-1.0620193405876062,0,0,1,2
000001.SS,2001-05,2214.25708,4.486302006868304,59.95146006922568,56.56440058062154,60.64858498111848,22.282612275385794,20.0311490147036,19.63342545373024,-20.567427445911942,0.3033536603418207,9.558998400811111,7.839751516784288,18.989927506775352,-5.152284860495316,4.464609678814534,-0.8439178004239036,0,0,1,2
000001.SS,2001-06,2218.029053,0.1703493706340708,70.94172350565593,62.602798779805504,78.85646438598633,18.33193624265337,10.675262421595733,30.02193606089316,22.282612275385794,4.486302006868304,-20.567427445911942,0.3033536603418207,9.558998400811111,7.839751516784288,4.463096556913823,-0.624503123406393,0,0,0,2
000001.SS,2001-07,1920.317993,-13.422324635348238,59.984781203731416,53.3461978666244,62.87733785567745,-15.444990282835402,-14.786241340007166,-20.26355943641387,18.33193624265337,0.1703493706340708,22.282612275385794,4.486302006868304,-20.567427445911942,0.3033536603418207,7.52138731056967,-0.8432525619600832,0,1,1,2
000001.SS,2001-08,1834.137939,-4.487801203454112,64.13564220551521,73.31873946036062,56.88255968401509,6.919856867837648,37.43948471017813,-9.53408394201134,-15.444990282835402,-13.422324635348238,18.33193624265337,0.1703493706340708,22.282612275385794,4.486302006868304,7.451928132343101,-0.7603828626740763,0,1,1,2
000001.SS,2001-09,1764.866943,-3.776760434810456,472.49111404418943,791.8359584172566,249.4176373163859,93.42482713456964,104.55736914021404,104.18821894560378,6.919856867837648,-4.487801203454112,-15.444990282835402,-13.422324635348238,18.33193624265337,0.1703493706340708,6.134812135823679,7.392213704284887,1,1,1,0
000001.SS,2001-10,1689.170044,-4.289099487088077,504.05423072076616,840.6995652721774,257.8192534908172,6.680150322070344,6.170925472062505,3.368493208751655,636.705984061322,-3.776760434810456,6.919856867837648,-4.487801203454112,-15.444990282835402,-13.422324635348238,5.955888518627989,8.022354291115674,0,1,0,0
000001.SS,2001-11,1747.993042,3.4823609505118647,296.1777104695638,494.21396484375,141.4245381673177,-39.28844654475468,-41.21396212644078,-44.52829942694827,6.680150322070344,-4.289099487088077,636.705984061322,-3.776760434810456,6.919856867837648,-4.487801203454112,5.693163227764363,3.872211775036317,0,0,0,0
000001.SS,2001-12,1645.970947,-5.836527523202806,231.22251793646043,376.6929409888483,121.45619632351784,-21.93115492388762,-23.77938144505022,-14.11943224461908,-41.24090377218973,3.4823609505118647,6.680150322070344,-4.289099487088077,636.705984061322,-3.776760434810456,5.392310973297292,2.5754164186103274,0,1,0,1
000001.SS,2002-01,1491.665039,-9.37476498484029,169.9862031013735,259.16573752126385,104.05673919185516,-26.483715938044828,-31.199736092496558,-14.325705611030717,-21.93115492388762,-5.836527523202806,-41.24090377218973,3.4823609505118647,6.680150322070344,-4.289099487088077,4.209624972363851,1.3528664479931174,0,1,0,2
000001.SS,2002-02,1524.70105,2.2147070646736378,143.41856629507882,209.3824323926653,93.08014828818185,-15.629290096238414,-19.20906119950132,-10.548659307337282,-26.483715938044828,-9.37476498484029,-21.93115492388762,-5.836527523202806,-41.24090377218973,3.4823609505118647,4.901702486738397,0.8224579202367436,0,0,1,2
000001.SS,2002-03,1603.905029,5.19472187679022,150.27259728216356,217.83082137569303,97.68620583318896,4.779040234569632,4.034908223429179,4.948485396420366,-15.629290096238414,2.2147070646736378,-26.483715938044828,-9.37476498484029,-21.93115492388762,-5.836527523202806,5.865376520695951,0.959294949121256,0,0,1,2
000001.SS,2002-04,1667.749023,3.9805345606906295,154.13523864746094,219.28201649983723,99.5971280415853,2.570422974752073,0.6662028426368982,1.956184286304952,4.779040234569632,5.19472187679022,-15.629290096238414,2.2147070646736378,-26.483715938044828,-9.37476498484029,6.029820529629127,1.0364104989443716,0,0,1,2
000001.SS,2002-05,1515.733032,-9.115040027218768,159.16512766192037,205.2949966922883,137.87667772846837,3.263295959182844,-6.378553075536553,38.434391070895146,2.570422974752073,3.9805345606906295,4.779040234569632,5.19472187679022,-15.629290096238414,2.2147070646736378,6.706390051328746,1.136829518008396,0,1,0,2
000001.SS,2002-06,1732.755005,14.31795497084607,147.7977030436198,185.49468332926432,127.91307754516602,-7.141906512616192,-9.644810483473298,-7.226457982200928,3.263295959182844,-9.115040027218768,2.570422974752073,3.9805345606906295,4.779040234569632,5.19472187679022,9.110710169083015,0.9098850215846186,0,0,0,2
000001.SS,2002-07,1651.593994,-4.683928816584193,119.3782693186114,161.98243344214654,92.84361993112871,-19.228603110713397,-12.675430618883077,-27.416631893368603,-7.141906512616192,14.31795497084607,3.263295959182844,-9.115040027218768,2.570422974752073,3.9805345606906295,8.174650039486465,0.3425063679371067,0,1,1,2
000001.SS,2002-08,1666.618042,0.9096695710071768,127.00253000567037,157.38569099672378,101.1353489045174,6.386640324555559,-2.837803055393984,8.930854892925822,-19.228603110713397,-4.683928816584193,-7.141906512616192,14.31795497084607,3.263295959182844,-9.115040027218768,8.184665855145603,0.4947206170153542,0,0,1,2
000001.SS,2002-09,1581.618042,-5.100148795821092,170.25116170247395,185.25534108479815,167.8897672017415,34.05336231874485,17.707867793810127,66.00503090195247,6.386640324555559,0.9096695710071768,-19.228603110713397,-4.683928816584193,-7.141906512616192,14.31795497084607,8.398746721858217,1.3581562034407222,0,1,0,2
