Sample,Direction,Target,Accuracy,Precision,Recall,F1,ROC_AUC
Full Period 2001-2021 (in-sample),direction_A,target_stock_down,0.762883008356546,0.7113985448666128,0.7308970099667774,0.7210159770585826,0.8241376168168455
Full Period 2001-2021 (in-sample),direction_B,target_gpr_up_lead1,0.6601123595505618,0.6335149863760218,0.6838235294117647,0.6577086280056577,0.7166305937697661
