feature,importance
stock_ret_lag3,0.2538361068733101
stock_ret_lag2,0.24958810319862323
stock_ret_lag1,0.14854456673893973
stock_ret,0.13716907125504618
stock_vol6,0.11506635256872787
Region_encoded,0.04093188161393231
GPR_spike,0.03386045760857485
Crisis_dummy,0.021003460142845685
