Direction,Target,Accuracy,Precision,Recall,F1,ROC_AUC,Baseline_Accuracy
direction_A,target_stock_down,0.4987179487179487,0.3515850144092219,0.4236111111111111,0.384251968503937,0.5243020268744354,0.630769
direction_B,target_gpr_up_lead1,0.491025641025641,0.4979757085020243,0.3106060606060606,0.38258164852255055,0.5224708017676768,0.507692
