id,year,date_start,date_end,type_of_violence,number_of_sources,where_prec,event_clarity,date_prec,latitude,longitude,region,region_enc,country_id,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,total_deaths,lethality_ratio,conflict_duration_days,active_year,pre_return,pre_volatility,event_return,post_return,post_volatility,market_reaction,volatility_change,n_indices_tracked,market_direction_5d,severity_class
219637,2003,2003-11-24,2003-11-24,3,1,2,1,1,4.85111,-74.12611,Americas,1,100,0,0,1,0,1,1,1,1,1.0,0,True,-0.0025876239177215,0.0117034512688024,0.0121074614269403,0.0054216634973785,0.0099786450626444,0.0080092874151001,-0.001724806206158,12,1,0
198859,2015,2015-01-20,2015-01-20,1,1,1,1,1,48.0,37.805278,Europe,3,369,0,0,2,0,2,2,2,2,2.0,0,True,-0.0007450792287249,0.0179391474671369,0.0086940892735812,0.0061247422911803,0.0108969716800295,0.0068698215199053,-0.0070421757871073,14,1,1
230192,2016,2016-10-09,2016-10-09,1,1,1,1,1,36.201241,37.161173,Middle East,4,652,2,2,0,0,4,4,4,4,4.0,0,True,-0.0004196026644868,0.0079355599807487,,-0.0005745025286439,0.0084442632484603,-0.0001548998641571,0.0005087032677115,14,0,1
294727,2019,2019-07-26,2019-07-26,1,2,2,1,1,33.929854,68.886195,Asia,2,700,0,1,0,0,1,5,1,1,0.5,0,True,0.0003351681242241,0.006499350476013,0.0015750693688383,-0.0064539884618552,0.0086410842873739,-0.0067891565860793,0.0021417338113609,14,0,0
344038,2015,2015-03-24,2015-03-24,1,2,1,1,1,35.86447,36.80591,Middle East,4,652,0,0,11,0,11,11,10,11,5.5,0,True,0.0030025002328285,0.0090864053067782,0.000512722393396,-0.0009677136511183,0.0099714196081431,-0.0039702138839469,0.0008850143013649,14,0,2
30144,2011,2011-06-19,2011-06-19,1,-1,1,1,1,11.0,30.016667,Africa,0,625,0,0,5,0,5,5,5,5,-5.0,0,True,-0.0031638629962816,0.0091023415483816,,0.00251414832763,0.011365220676616,0.0056780113239117,0.0022628791282343,13,1,2
469716,2016,2016-08-05,2016-08-05,3,1,3,1,1,1.21467,-77.27865,Americas,1,100,0,0,2,0,2,2,2,2,2.0,0,False,-0.0008003464378747,0.0078316537504777,0.0074140067792109,0.0029320378972153,0.0069571799193,0.00373238433509,-0.0008744738311777,14,1,1
264282,2014,2014-10-11,2014-10-11,1,1,4,1,1,36.25,37.616667,Middle East,4,652,0,1,0,0,1,1,1,1,1.0,0,True,-0.0037133506388799,0.0097040827607795,,-0.0017100622028675,0.0134202421332492,0.0020032884360124,0.0037161593724696,14,0,0
217321,2012,2012-06-14,2012-06-14,1,-1,1,1,1,37.159438,41.789469,Middle East,4,640,0,4,0,0,4,4,4,4,-4.0,0,True,0.0001074424578812,0.0121940649800722,-0.0027107563739688,0.0025367600261697,0.0108920071656447,0.0024293175682885,-0.0013020578144275,14,1,1
43088,1999,1999-01-20,1999-01-31,3,-1,1,2,4,-4.165556,13.292778,Africa,0,484,0,0,200,0,200,200,200,200,-200.0,11,True,0.0025567962430408,0.0183750601881271,0.0032512268059021,-0.0041866384024038,0.0187403947370329,-0.0067434346454447,0.0003653345489058,11,0,2
