Index,Date,Close,Adj Close,GPRD,GPRD_ACT,GPRD_THREAT,YearMonth
NYA,2000-01-03,6762.109863,6762.109863,101.01858520507812,92.3153305053711,98.00013732910156,2000-01
NYA,2000-01-04,6543.759766,6543.759766,93.75191497802734,116.82917022705078,71.461181640625,2000-01
NYA,2000-01-05,6567.029785,6567.029785,47.5650749206543,47.418663024902344,56.50264358520508,2000-01
NYA,2000-01-06,6635.439941,6635.439941,52.012840270996094,51.85273742675781,59.46916961669922,2000-01
NYA,2000-01-07,6792.669922,6792.669922,41.66751480102539,41.53926086425781,54.446617126464844,2000-01
NYA,2000-01-10,6838.450195,6838.450195,65.59539794921875,58.12754821777344,72.7261734008789,2000-01
NYA,2000-01-11,6774.47998,6774.47998,55.51789855957031,49.19733810424805,61.553157806396484,2000-01
NYA,2000-01-12,6766.549805,6766.549805,50.74571990966797,33.72634506225586,65.63924407958984,2000-01
NYA,2000-01-13,6836.759766,6836.759766,65.70381927490234,60.043113708496094,72.84638214111328,2000-01
NYA,2000-01-14,6870.490234,6870.490234,59.25376892089844,61.88429641723633,56.31013107299805,2000-01
NYA,2000-01-18,6808.640137,6808.640137,66.3211669921875,48.71780776977539,87.07599639892578,2000-01
NYA,2000-01-19,6823.970215,6823.970215,82.59296417236328,47.05070495605469,112.82918548583984,2000-01
NYA,2000-01-20,6772.580078,6772.580078,61.08675003051758,49.82622146606445,69.26665496826172,2000-01
NYA,2000-01-21,6762.75,6762.75,75.08871459960938,69.09931182861328,81.65050506591797,2000-01
NYA,2000-01-24,6611.120117,6611.120117,90.75527954101562,104.39530181884766,69.66079711914062,2000-01
NYA,2000-01-25,6606.779785,6606.779785,60.57631301879883,69.92508697509766,53.022212982177734,2000-01
NYA,2000-01-26,6644.850098,6644.850098,74.37543487548828,74.14649963378906,71.3602066040039,2000-01
NYA,2000-01-27,6627.189941,6627.189941,66.86427307128906,61.10358810424805,69.49967956542969,2000-01
NYA,2000-01-28,6469.109863,6469.109863,48.634761810302734,43.09783172607422,44.934810638427734,2000-01
NYA,2000-01-31,6574.009766,6574.009766,79.29976654052734,71.86880493164062,83.92394256591797,2000-01
NYA,2000-02-01,6606.890137,6606.890137,84.93763732910156,94.08465576171875,78.47589111328125,2000-02
NYA,2000-02-02,6618.419922,6618.419922,64.04810333251953,66.40499114990234,59.64896011352539,2000-02
NYA,2000-02-03,6657.540039,6657.540039,53.7020378112793,61.989906311035156,51.70570373535156,2000-02
NYA,2000-02-04,6628.669922,6628.669922,61.499149322509766,66.88346862792969,69.7342758178711,2000-02
NYA,2000-02-07,6596.319824,6596.319824,79.90843200683594,101.38859558105469,54.365203857421875,2000-02
NYA,2000-02-08,6651.299805,6651.299805,124.30528259277344,160.7645263671875,89.39566040039062,2000-02
NYA,2000-02-09,6523.779785,6523.779785,76.97016143798828,85.2591552734375,75.85552978515625,2000-02
