Index,YearMonth,Close_last,Stock_monthly_pct,GPRD_mean,GPRD_ACT_mean,GPRD_THREAT_mean,GPRD_monthly_pct,GPRD_ACT_monthly_pct,GPRD_THREAT_monthly_pct
000001.SS,2000-02,1714.578003,11.69911479198591,63.89095319550613,69.82025521377037,56.801463094250906,-2.9042100082795064,5.873836985806324,-14.821458008439558
000001.SS,2000-03,1800.224976,4.9952217309532365,50.673104070848034,41.77679486428538,55.219184998543035,-20.688138873451322,-40.16522177357223,-2.785629118535893
000001.SS,2000-04,1836.321045,2.005086557581448,49.652309608459475,41.48203840255737,54.45606384277344,-2.0144699660817,-0.7055506835446423,-1.3819855468524822
000001.SS,2000-05,1894.553955,3.1711726094170167,79.68136535152313,82.95394897460938,78.51787874775547,60.478668524912834,99.97558502210744,44.1857402225283
000001.SS,2000-06,1928.105957,1.7709710463220896,64.1265432993571,52.05603179931641,72.9901512145996,-19.521279515661185,-37.24707208905779,-7.040087711633303
000001.SS,2000-07,2023.53894,4.9495715032428445,51.13137294400123,40.80166629052931,56.502953067902595,-20.264885157915803,-21.61971460324582,-22.58825043151742
000001.SS,2000-08,2021.198975,-0.11563726072896241,47.5130286985828,41.88413973777525,50.82666443240258,-7.076563833678429,2.6530128439808287,-10.046003487071765
000001.SS,2000-09,1910.161011,-5.493668133292029,52.75809377034505,36.65586573282878,63.30135205586751,11.039214328003254,-12.482705954280583,24.54358900544371
000001.SS,2000-10,1961.286987,2.6765270417300924,74.84650722626716,74.61284114468482,80.27979493910267,41.86734560970407,103.54952653010727,26.82161175364879
000001.SS,2000-11,2070.613037,5.574199529423596,45.440477244059245,47.08891073862711,44.53256746927897,-39.28844654475468,-36.88899924435919,-44.52829942694827
000001.SS,2000-12,2073.477051,0.13831720117774005,46.011570776662516,44.53382098290228,46.60758584545505,1.2567947504951382,-5.426096538752367,4.659552534462641
000001.SS,2001-01,2065.605957,-0.37960844544691064,47.34544200281943,39.250703688590754,53.58126591097924,2.8989908486964033,-11.863157433402927,14.962542983127358
000001.SS,2001-02,1959.180054,-5.152284860495316,56.336307116917204,45.95857455049242,65.78157465798515,18.989927506775352,17.089810453134604,22.769728448140224
000001.SS,2001-03,2112.774902,7.839751516784288,61.72149381329936,57.44915543833086,65.804611175291,9.558998400811113,25.002039336999694,0.035019710953454464
000001.SS,2001-04,2119.184082,0.30335366034182076,49.026970354715985,47.12476806640625,50.69535102844238,-20.567427445911946,-17.97134752138766,-22.96079237760469
000001.SS,2001-05,2214.25708,4.4863020068683035,59.95146006922568,56.56440058062154,60.64858498111848,22.282612275385794,20.031149014703598,19.633425453730236
000001.SS,2001-06,2218.029053,0.17034937063407085,70.94172350565593,62.602798779805504,78.85646438598633,18.33193624265337,10.675262421595733,30.02193606089316
000001.SS,2001-07,1920.317993,-13.422324635348238,59.984781203731416,53.3461978666244,62.87733785567745,-15.444990282835402,-14.786241340007166,-20.26355943641387
000001.SS,2001-08,1834.137939,-4.4878012034541115,64.13564220551521,73.31873946036062,56.88255968401509,6.919856867837648,37.43948471017813,-9.534083942011339
000001.SS,2001-09,1764.866943,-3.7767604348104555,472.49111404418943,791.8359584172566,249.4176373163859,636.705984061322,979.9912331353685,338.47822373309316
000001.SS,2001-10,1689.170044,-4.289099487088077,504.05423072076616,840.6995652721774,257.8192534908172,6.680150322070344,6.170925472062505,3.368493208751655
000001.SS,2001-11,1747.993042,3.4823609505118647,296.1777104695638,494.21396484375,141.4245381673177,-41.24090377218973,-41.21396212644078,-45.14585848323587
000001.SS,2001-12,1645.970947,-5.836527523202806,231.22251793646043,376.6929409888483,121.45619632351783,-21.93115492388762,-23.77938144505022,-14.119432244619079
000001.SS,2002-01,1491.665039,-9.37476498484029,169.9862031013735,259.16573752126385,104.05673919185516,-26.483715938044828,-31.199736092496554,-14.325705611030715
000001.SS,2002-02,1524.70105,2.2147070646736378,143.41856629507882,209.38243239266532,93.08014828818185,-15.629290096238414,-19.20906119950132,-10.548659307337282
000001.SS,2002-03,1603.905029,5.19472187679022,150.27259728216356,217.83082137569303,97.68620583318895,4.7790402345696315,4.034908223429179,4.948485396420366
000001.SS,2002-04,1667.749023,3.9805345606906295,154.13523864746094,219.28201649983723,99.5971280415853,2.5704229747520735,0.6662028426368982,1.9561842863049517
000001.SS,2002-05,1515.733032,-9.115040027218768,159.16512766192037,205.2949966922883,137.87667772846837,3.2632959591828437,-6.378553075536553,38.434391070895146
000001.SS,2002-06,1732.755005,14.31795497084607,147.7977030436198,185.49468332926432,127.91307754516602,-7.141906512616192,-9.644810483473298,-7.2264579822009285
000001.SS,2002-07,1651.593994,-4.683928816584193,119.37826931861139,161.98243344214654,92.84361993112871,-19.228603110713394,-12.675430618883077,-27.416631893368603
000001.SS,2002-08,1666.618042,0.9096695710071767,127.00253000567037,157.38569099672378,101.13534890451739,6.386640324555559,-2.8378030553939837,8.930854892925822
000001.SS,2002-09,1581.618042,-5.100148795821092,170.25116170247395,185.25534108479818,167.88976720174153,34.05336231874485,17.707867793810127,66.00503090195247
000001.SS,2002-10,1507.495972,-4.686470945050091,168.296264894547,195.84739069784843,161.10799457180886,-1.1482428597716532,5.717540747287764,-4.039419878272565
000001.SS,2002-11,1434.182007,-4.863294254958039,156.04842834472657,175.04123814900717,151.88629328409831,-7.277545082473935,-10.623655732508986,-5.723925316195444
000001.SS,2002-12,1357.654053,-5.336000146876763,175.05461046772618,174.67416357224988,183.75799191382623,12.179669045440855,-0.20970748415570784,20.983920234403875
000001.SS,2003-01,1499.814941,10.471068655956062,205.2729772752331,176.48827115951045,244.28261073943108,17.26225132075463,1.0385666375383629,32.93713552006381
000001.SS,2003-02,1511.932007,0.8079040732799303,236.19078636169434,210.63462039402552,291.2838772365025,15.061801848864963,19.34765920147381,19.240528973716554
000001.SS,2003-03,1510.578003,-0.08955455627178699,349.2410371841923,413.45056693784653,352.7903245495212,47.86395462919402,96.28803952760548,21.115637396943754
000001.SS,2003-04,1521.44397,0.7193251178304161,252.85915400187176,326.76046600341795,210.79934641520182,-27.597525181866878,-20.967464520966683,-40.2479796790425
000001.SS,2003-05,1576.260986,3.6029598907937332,159.68020999047064,183.58484895767705,150.55725589875252,-36.85013674083216,-43.81668896391011,-28.577930406763798
000001.SS,2003-06,1486.024048,-5.724746016139736,145.7216801961263,176.93343124389648,127.7050184249878,-8.741552754206271,-3.623075516059593,-15.178436494042181
000001.SS,2003-07,1476.741943,-0.6246268364561436,133.95684691398375,166.529414761451,106.6518937387774,-8.073495492440319,-5.880186920754349,-16.485745780285622
000001.SS,2003-08,1421.983032,-3.7080893692744477,137.39681588449787,179.2770211004442,108.98332251271894,2.5679680059377485,7.654867674430843,2.186017230647508
000001.SS,2003-09,1367.161011,-3.8553217419826535,118.71830571492514,145.99144999186197,97.7679594039917,-13.59457280674885,-18.56655744515813,-10.290898506437395
000001.SS,2003-10,1348.302979,-1.3793570653544474,107.55338336575416,129.5931615521831,91.48407450029927,-9.404549940243411,-11.232362196959455,-6.4273458728196236
000001.SS,2003-11,1397.224976,3.628412735265485,117.27323557535807,152.34808400472005,93.18425509134929,9.037235190035675,17.55873703519013,1.85844432524096
000001.SS,2003-12,1497.043945,7.144087080790906,131.9601605323053,166.63024114793348,112.74830061389554,12.52368017722989,9.374687733369157,20.995011982837084
000001.SS,2004-01,1590.729004,6.25800326790007,114.1432640321793,127.11111671693864,107.96992640341482,-13.501723875035932,-23.716658008020264,-4.238089784469723
000001.SS,2004-02,1675.067017,5.301846687143197,114.83697246683055,130.29377562424233,103.49829351490942,0.6077524070589702,2.503839939028385,-4.141554076639597
000001.SS,2004-03,1741.623047,3.9733353546176353,137.0413291685043,182.14090384206463,107.18084593742124,19.33554692769983,39.792482771660254,3.558080329103519
000001.SS,2004-04,1595.587036,-8.385052738682564,148.72968673706055,203.51488087972004,120.71956570943196,8.529074870679644,11.734858335933641,12.631659746290346
