YearMonth,Index,Region,Region_encoded,Close_month_end,Stock_monthly_pct,stock_lag1,stock_lag2,stock_lag3,stock_vol6,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_monthly_pct,GPRD_ACT_monthly_pct,GPRD_THREAT_monthly_pct,GPRD_monthly_pct_lead1,gpr_lag1,gpr_lag2,gpr_lag3,gprd_zscore,gpr_spike,Crisis_dummy,target_stock_down,target_gpr_up_lead1
2001-01,000001.SS,China_HK,1,2065.605957,-0.37960844544691064,0.13831720117774005,5.574199529423596,2.6765270417300924,3.677836026922555,47.34544200281943,39.250703688590754,53.58126591097924,2.8989908486964033,-11.863157433402927,14.962542983127358,18.989927506775352,1.2567947504951382,-39.28844654475468,41.86734560970407,-1.1276709843340298,0.0,0,1,1
2001-02,000001.SS,China_HK,1,1959.180054,-5.152284860495316,-0.37960844544691064,0.13831720117774005,5.574199529423596,4.335126823828585,56.336307116917204,45.95857455049242,65.78157465798515,18.989927506775352,17.089810453134604,22.769728448140224,9.558998400811113,2.8989908486964033,1.2567947504951382,-39.28844654475468,-0.5528914270022299,0.0,0,1,1
2001-03,000001.SS,China_HK,1,2112.774902,7.839751516784288,-5.152284860495316,-0.37960844544691064,0.13831720117774005,4.633267876447653,61.72149381329936,57.44915543833086,65.804611175291,9.558998400811113,25.002039336999694,0.035019710953454464,-20.567427445911946,18.989927506775352,2.8989908486964033,1.2567947504951382,-0.16449345719586606,0.0,0,0,0
2001-04,000001.SS,China_HK,1,2119.184082,0.30335366034182076,7.839751516784288,-5.152284860495316,-0.37960844544691064,4.643001002505018,49.026970354715985,47.12476806640625,50.69535102844238,-20.567427445911946,-17.97134752138766,-22.96079237760469,22.282612275385794,9.558998400811113,18.989927506775352,2.8989908486964033,-0.9863278333381387,0.0,0,0,1
2001-05,000001.SS,China_HK,1,2214.25708,4.4863020068683035,0.30335366034182076,7.839751516784288,-5.152284860495316,4.464609678814531,59.95146006922568,56.56440058062154,60.64858498111848,22.282612275385794,20.031149014703598,19.633425453730236,18.33193624265337,-20.567427445911946,9.558998400811113,18.989927506775352,-0.08072137279815189,0.0,0,0,1
2001-06,000001.SS,China_HK,1,2218.029053,0.17034937063407085,4.4863020068683035,0.30335366034182076,7.839751516784288,4.463096556913819,70.94172350565593,62.602798779805504,78.85646438598633,18.33193624265337,10.675262421595733,30.02193606089316,-15.444990282835402,22.282612275385794,-20.567427445911946,9.558998400811113,0.8917469952324577,0.0,0,0,0
2001-07,000001.SS,China_HK,1,1920.317993,-13.422324635348238,0.17034937063407085,4.4863020068683035,0.30335366034182076,7.521387310569669,59.984781203731416,53.3461978666244,62.87733785567745,-15.444990282835402,-14.786241340007166,-20.26355943641387,6.919856867837648,18.33193624265337,22.282612275385794,-20.567427445911946,-0.040735325784857314,0.0,0,1,1
2001-08,000001.SS,China_HK,1,1834.137939,-4.4878012034541115,-13.422324635348238,0.17034937063407085,4.4863020068683035,7.4519281323431,64.13564220551521,73.31873946036062,56.88255968401509,6.919856867837648,37.43948471017813,-9.534083942011339,636.705984061322,-15.444990282835402,18.33193624265337,22.282612275385794,0.3121450090099885,0.0,1,1,1
2001-09,000001.SS,China_HK,1,1764.866943,-3.7767604348104555,-4.4878012034541115,-13.422324635348238,0.17034937063407085,6.134812135823677,472.49111404418943,791.8359584172566,249.4176373163859,636.705984061322,979.9912331353685,338.47822373309316,6.680150322070344,6.919856867837648,-15.444990282835402,18.33193624265337,4.651889065398863,1.0,1,1,1
2001-10,000001.SS,China_HK,1,1689.170044,-4.289099487088077,-3.7767604348104555,-4.4878012034541115,-13.422324635348238,5.9558885186279875,504.05423072076616,840.6995652721774,257.8192534908172,6.680150322070344,6.170925472062505,3.368493208751655,-41.24090377218973,636.705984061322,6.919856867837648,-15.444990282835402,3.36038803354654,0.0,1,1,0
