,mean,std,min,max
return_1d,0.0003439298491485452,0.01297970443493955,-0.07477158476717398,0.0731011980824113
abs_return_1d,0.008826439527116994,0.00966820389213017,0.0,0.08619417251463984
return_z_20,-0.023474690958401743,0.9831518939655944,-3.3302666818573425,3.012000257897254
volatility_20,0.01124650468402175,0.006991406084510561,0.0024898123948414405,0.05862126556236589
intraday_range,0.011493497587325279,0.01106277210330913,0.0,0.09006574860362723
open_close_return,-2.5793154455732006e-05,0.010454960228001584,-0.06212519020591047,0.059596022702325335
volume_z_20,0.012621871477688906,0.842689509206723,-3.2525359006302663,3.773849833139958
