min_samples,eps_percentile,eps,n_clusters,noise_share_pct,largest_cluster_share_pct,conflict_variable,anomaly_rate_non_conflict,anomaly_rate_conflict,difference_conflict_minus_non_conflict,corrected_odds_ratio,p_value_chi2,p_value_fisher,test_valid
10,80,0.48175613055043526,14,14.021178436501017,85.85349462365592,is_conflict_day,0.017702779646979656,0.16627933871553974,0.14857655906856007,11.051154820578393,0.0,0.0,True
10,80,0.48175613055043526,14,14.021178436501017,85.85349462365592,is_high_intensity_conflict_day,0.13952015203103968,0.14790748898678413,0.008387336955744451,1.0708480862955532,0.028587072280724827,0.028298392654711606,True
10,80,0.48175613055043526,14,14.021178436501017,85.85349462365592,is_conflict_window_3d,0.017271784232365146,0.16630702836004932,0.14903524412768418,11.333708743998452,0.0,0.0,True
10,80,0.48175613055043526,14,14.021178436501017,85.85349462365592,is_high_intensity_conflict_window_3d,0.14227475604184484,0.1330962867186553,-0.009178469323189525,0.9256702392066642,0.00026094833056471985,0.0002423333724780043,True
10,85,0.5511606699383589,7,10.454809648358035,89.4779860505667,is_conflict_day,0.014545266318132409,0.12369896357648717,0.10915369725835476,9.547368153157741,0.0,0.0,True
10,85,0.5511606699383589,7,10.454809648358035,89.4779860505667,is_high_intensity_conflict_day,0.10403634492042126,0.11024229074889867,0.006205945828477416,1.0674646836292805,0.06673914447071742,0.06516782187368927,True
10,85,0.5511606699383589,7,10.454809648358035,89.4779860505667,is_conflict_window_3d,0.014263485477178423,0.12371190769772768,0.10944842222054925,9.739549875373145,0.0,0.0,True
10,85,0.5511606699383589,7,10.454809648358035,89.4779860505667,is_high_intensity_conflict_window_3d,0.106685566346075,0.09717564346034183,-0.009509922885733171,0.9013893211538453,1.759493811625457e-05,1.4894439613181727e-05,True
10,90,0.662210636626518,6,6.687736123219994,93.27775356001162,is_conflict_day,0.010456027744707283,0.07888273325036071,0.06842670550565343,8.085387151438818,1.1738249625413176e-261,0.0,True
10,90,0.662210636626518,6,6.687736123219994,93.27775356001162,is_high_intensity_conflict_day,0.06644429487687069,0.07169603524229075,0.00525174036542006,1.0858381637193744,0.057833400037835006,0.056402006760328256,True
10,90,0.662210636626518,6,6.687736123219994,93.27775356001162,is_conflict_window_3d,0.01016597510373444,0.07891491985203453,0.06874894474830008,8.321570582322643,1.0850219570642506e-263,0.0,True
10,90,0.662210636626518,6,6.687736123219994,93.27775356001162,is_high_intensity_conflict_window_3d,0.06863629441327039,0.06081053779950705,-0.007825756613763342,0.8788033487772131,1.52676642159611e-05,1.271063917664806e-05,True
10,92,0.7296745758484962,5,5.190170008718396,94.75715634989828,is_conflict_day,0.009472539986541746,0.06092980736400383,0.05145726737746208,6.766980030229488,3.409528062072887e-188,1.4127697307364722e-261,True
10,92,0.7296745758484962,5,5.190170008718396,94.75715634989828,is_high_intensity_conflict_day,0.05159751365903872,0.0552863436123348,0.0036888299532960855,1.0765872518843194,0.1353988435139765,0.13192021358239903,True
10,92,0.7296745758484962,5,5.190170008718396,94.75715634989828,is_conflict_window_3d,0.009232365145228216,0.06095869297163995,0.05172632782641173,6.9476768085876826,7.576412317961032e-190,6.06082353721267e-265,True
10,92,0.7296745758484962,5,5.190170008718396,94.75715634989828,is_high_intensity_conflict_window_3d,0.05345407260757003,0.04654733524586852,-0.006906737361701505,0.8647507207594665,1.735529065033352e-05,1.3850723433958912e-05,True
10,95,0.8870734752478477,5,3.1141020052310373,96.85229584423132,is_conflict_day,0.006522076712045137,0.03637945656603483,0.02985737985398969,5.7289768083911445,3.7686607764436934e-104,1.513836054346084e-142,True
10,95,0.8870734752478477,5,3.1141020052310373,96.85229584423132,is_high_intensity_conflict_day,0.03098028347454272,0.032929515418502205,0.0019492319439594862,1.0666162474047953,0.3208314595658939,0.3127734010005274,True
10,95,0.8870734752478477,5,3.1141020052310373,96.85229584423132,is_conflict_window_3d,0.006327800829875519,0.03640787387704773,0.030080073047172216,5.9100433587925805,1.6202751767469886e-105,4.875566229980704e-145,True
10,95,0.8870734752478477,5,3.1141020052310373,96.85229584423132,is_high_intensity_conflict_window_3d,0.032145074563921135,0.027677885975190917,-0.004467188588730218,0.8575312269663511,0.00039778851608283076,0.00032304610516014883,True
10,97,1.096343389261275,3,1.8027099680325487,98.16277971519906,is_conflict_day,0.003933951032662146,0.02102585001046336,0.017091898977801216,5.404011418652032,6.561581279032657e-59,4.9673906647169116e-80,True
10,97,1.096343389261275,3,1.8027099680325487,98.16277971519906,is_high_intensity_conflict_day,0.017915116002850583,0.019273127753303965,0.0013580117504533827,1.0800166453645632,0.3732171985115582,0.3437267182391726,True
10,97,1.096343389261275,3,1.8027099680325487,98.16277971519906,is_conflict_window_3d,0.0037863070539419087,0.02104985027303153,0.01726354321908962,5.6206048076193715,5.69463998669271e-60,5.062417754292567e-82,True
